City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,82.45,light rain,3.0707,172.7902,Isles Sunset Lodge
1,Westport,US,86.18,clear sky,41.1415,-73.3579,The Westport Inn
8,Rikitea,PF,76.12,clear sky,-23.1203,-134.9692,Pension Maro'i
14,Bela Vista,BR,77.7,overcast clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
17,Huilong,CN,82.98,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
20,Bethel,US,83.8,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
22,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
23,Kapaa,US,87.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Lorengau,PG,78.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
29,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
31,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
40,Kuala Kedah,MY,82.38,few clouds,6.1,100.3,Artini Homestay
41,Iralaya,HN,80.51,clear sky,15.0,-83.2333,Iglesia morava renovada
42,Sabang,ID,82.33,overcast clouds,5.8933,95.3214,Hotel Citra
45,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
46,Hambantota,LK,78.85,overcast clouds,6.1241,81.1185,Bungalow 63
48,Nakhon Si Thammarat,TH,86.0,overcast clouds,8.25,100.0,ร้านไอซ์โมสีshop
54,Shiyan,CN,83.5,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
61,Atuona,PF,79.21,clear sky,-9.8,-139.0333,Villa Enata
71,Hilo,US,82.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
73,Beatrice,US,83.84,clear sky,40.2681,-96.747,Victorian Inn Beatrice
76,Whithorn,JM,79.86,few clouds,18.2604,-78.0378,Sunset Heal
80,Manadhoo,MV,82.92,light rain,5.7667,73.3833,Vevu Guesthouse
86,Alyangula,AU,80.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
91,Banda Aceh,ID,80.89,scattered clouds,5.5577,95.3222,Sulthan Hotel International
93,Palmer,US,81.95,broken clouds,42.1584,-72.3287,Wedgewood Motel
95,The Valley,AI,81.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
96,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
97,Tautira,PF,86.02,few clouds,-17.7333,-149.15,Pension Oaoa
98,Labuhan,ID,81.63,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
101,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
110,Palauig,PH,84.42,moderate rain,15.435,119.9045,Myhousebythesea
112,Puerto Cabezas,NI,79.25,few clouds,14.0351,-83.3888,Cabaña Caribe
117,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
