City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,82.45,74,38,7.49,light rain
1,Westport,US,41.1415,-73.3579,86.18,57,1,11.61,clear sky
2,Busselton,AU,-33.65,115.3333,59.09,84,100,10.25,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,31.66,93,0,4.61,clear sky
4,Bluff,NZ,-46.6,168.3333,49.8,71,74,5.77,broken clouds
5,Narsaq,GL,60.9167,-46.05,46.62,79,100,6.69,overcast clouds
6,Shimoda,JP,34.6667,138.95,68.36,94,100,5.06,light rain
7,Saint-Joseph,RE,-21.3667,55.6167,71.47,84,35,1.97,light rain
8,Rikitea,PF,-23.1203,-134.9692,76.12,79,8,13.02,clear sky
9,Port Elizabeth,ZA,-33.918,25.5701,53.89,82,0,9.22,clear sky
10,Barrow,US,71.2906,-156.7887,33.82,86,75,10.36,broken clouds
11,Polunochnoye,RU,60.8697,60.4153,64.49,48,37,8.3,scattered clouds
12,Ilhabela,BR,-23.7781,-45.3581,70.52,68,0,3.36,clear sky
13,Jos,NG,9.9167,8.9,68.63,85,88,3.22,overcast clouds
14,Bela Vista,BR,-22.1089,-56.5211,77.7,34,100,4.63,overcast clouds
15,Kelme,LT,55.6339,22.9342,51.82,77,27,5.93,scattered clouds
16,Vardo,NO,70.3705,31.1107,41.45,72,41,13.44,scattered clouds
17,Huilong,CN,31.8111,121.655,82.98,56,0,9.89,clear sky
18,Clyde River,CA,70.4692,-68.5914,32.23,100,90,16.11,light snow
19,Castro,BR,-24.7911,-50.0119,58.46,81,100,3.44,overcast clouds
20,Bethel,US,41.3712,-73.414,83.8,65,1,5.75,clear sky
21,Kasempa,ZM,-13.4584,25.8338,54.39,68,100,8.59,overcast clouds
22,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,17.05,scattered clouds
23,Kapaa,US,22.0752,-159.319,87.78,68,20,3.0,few clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,73.4,87,0,21.77,clear sky
25,Lorengau,PG,-2.0226,147.2712,78.75,88,100,7.14,overcast clouds
26,Carnarvon,AU,-24.8667,113.6333,64.47,68,75,6.91,broken clouds
27,Port Lincoln,AU,-34.7333,135.8667,62.15,71,62,16.15,broken clouds
28,Belyy Yar,RU,53.6039,91.3903,48.09,81,0,15.57,clear sky
29,Avarua,CK,-21.2078,-159.775,77.05,69,20,10.36,few clouds
30,Namibe,AO,-15.1961,12.1522,71.29,59,38,3.0,scattered clouds
