City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.7297,-155.09,72.81,93,38,3.0,US,2021-06-01 16:01:08
1,Ushuaia,-54.8,-68.3,28.96,93,95,3.53,AR,2021-06-01 16:01:53
2,Arraial Do Cabo,-22.9661,-42.0278,73.08,77,15,10.65,BR,2021-06-01 16:04:55
3,Moron,-34.6534,-58.6198,64.83,52,90,4.0,AR,2021-06-01 16:05:57
4,Bowen,-20.0167,148.2333,66.88,82,22,9.46,AU,2021-06-01 16:06:37
5,Bredasdorp,-34.5322,20.0403,56.28,83,28,3.98,ZA,2021-06-01 16:05:13
6,Kantunilkin,21.0917,-87.45,85.95,41,26,4.29,MX,2021-06-01 16:05:07
7,Sao Filipe,14.8961,-24.4956,74.86,75,99,10.11,CV,2021-06-01 16:05:34
8,Iqaluit,63.7506,-68.5145,31.69,100,100,4.0,CA,2021-06-01 16:04:52
9,Kahului,20.8947,-156.47,79.84,76,36,5.01,US,2021-06-01 16:02:44
10,Bethel,41.3712,-73.414,74.41,62,100,1.01,US,2021-06-01 16:03:01
11,Castro,-24.7911,-50.0119,67.48,57,2,3.96,BR,2021-06-01 16:01:22
12,Cape Town,-33.9258,18.4232,61.09,71,1,1.01,ZA,2021-06-01 16:06:00
13,Hearst,49.6835,-83.6665,70.47,34,36,7.38,CA,2021-06-01 16:06:39
14,Tsukumi,33.0706,131.8572,68.29,90,100,7.54,JP,2021-06-01 16:06:39
15,Chernyshevskiy,63.0128,112.4714,58.05,57,100,1.77,RU,2021-06-01 16:06:40
16,Kholtoson,50.2981,103.3097,40.3,72,100,4.97,RU,2021-06-01 16:06:40
17,Nakusp,50.2499,-117.8023,73.83,53,96,1.74,CA,2021-06-01 16:06:41
18,Riberalta,-10.9833,-66.1,89.31,48,83,1.5,BO,2021-06-01 16:06:41
19,Malyn,50.7723,29.2383,58.91,73,100,11.27,UA,2021-06-01 16:06:42
